,ROC,Acuracia,F1,tempo(s) treino,tempo(s) predição,matriz,hiper paramentros,modelo
0,99.92,99.20,99.16,6269.353330,0.881010,"[[255.40 0.50 0.00 0.40 0.10 0.10]
 [0.50 290.50 0.40 0.20 0.90 0.10]
 [0.00 0.30 161.30 0.20 2.10 0.20]
 [0.20 0.00 0.20 192.70 0.20 0.30]
 [0.20 0.10 0.60 0.50 299.00 0.50]
 [0.20 0.00 0.00 1.60 0.50 181.00]]","[{'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}, {'activation': 'tanh', 'hidden_layer_sizes': 90, 'learning_rate_init': 0.0001, 'max_iter': 200, 'verbose': False}]",MLPClassifier()
1,99.81,99.40,99.39,192.611600,48.423420,"[[255.20 0.80 0.00 0.30 0.20 0.00]
 [0.50 291.20 0.20 0.00 0.60 0.10]
 [0.00 0.30 162.20 0.10 1.50 0.00]
 [0.70 0.00 0.00 191.80 0.00 1.10]
 [0.40 0.20 0.50 0.20 299.40 0.20]
 [0.30 0.00 0.00 0.10 0.00 182.90]]","[{'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}, {'metric': 'euclidean', 'n_neighbors': 3}]",KNeighborsClassifier()
2,98.95,87.35,87.63,11726.709790,96.668600,"[[195.50 0.80 0.90 57.60 1.50 0.20]
 [0.60 278.50 0.30 12.70 0.40 0.10]
 [0.10 0.50 155.10 7.10 0.90 0.40]
 [0.50 0.20 0.00 190.80 0.70 1.40]
 [1.30 0.40 0.70 38.50 258.60 1.40]
 [0.10 0.00 0.00 45.50 1.10 136.60]]","[{'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}, {'kernel': 'poly', 'probability': True, 'verbose': False}]",SVC()
3,98.71,97.96,97.81,1236.722280,0.599220,"[[253.20 0.60 0.30 1.10 0.40 0.90]
 [0.90 288.50 1.40 0.60 1.00 0.20]
 [0.10 1.30 159.90 0.80 1.60 0.40]
 [1.40 0.60 0.40 187.50 1.10 2.60]
 [0.60 0.70 1.70 1.20 295.30 1.40]
 [0.80 0.30 0.30 2.90 0.80 178.20]]","[{'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}, {'criterion': 'entropy'}]",DecisionTreeClassifier()
4,83.84,57.77,57.98,22.750580,1.391460,"[[142.00 0.40 6.30 55.80 19.30 32.70]
 [6.90 184.30 46.60 3.70 5.70 45.40]
 [0.30 0.50 87.30 5.60 6.30 64.10]
 [14.30 0.00 0.00 70.30 5.80 103.20]
 [1.70 0.00 0.30 46.30 163.10 89.50]
 [0.00 0.00 0.10 20.40 6.20 156.60]]","[{}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",GaussianNB()
